#{"t_start": 1760019223.6267493, "env_id": "None"}
r,l,t
2388.03704,62,1.547293
-612.775544,12,1.845774
587.650216,20,2.212325
-426.951382,13,2.533952
-541.675682,16,2.88824
3998.888027,70,3.698746
5466.526209,99,4.879483
2875.345947,56,5.679255
1112.236097,69,6.565923
3850.642575,69,7.346182
1026.97434,23,7.761659
4340.06315,62,8.463166
3575.914158,71,9.260604
2141.521773,67,10.002158
6490.96931,116,11.165654
4992.95017,151,12.634458
2404.833707,40,13.227423
12590.347045,158,14.758356
2298.410064,65,15.612609
-506.726561,14,15.89784
3710.984343,70,16.649795
4927.3048,90,17.600412
4256.285841,92,18.635976
2552.81213,89,19.755081
1222.529993,54,20.563529
883.026655,25,21.013078
6001.330108,130,22.51275
288.179141,21,22.8947
-15253.963987,241,25.63755
-18514.322494,40,26.319673
-22690.286645,73,27.412333
-2808.305764,26,28.024746
-4943.550076,30,28.572348
-4922.368827,30,29.115421
-577.061641,16,29.515602
3657.88789,65,30.488206
9072.983896,47,31.23578
9073.999667,47,32.019991
9070.833054,47,32.761127
3609.333023,54,33.666999
3713.578696,65,34.634044
3715.316545,65,35.603208
3549.507775,54,36.464512
3661.545809,65,37.578211
9073.636836,47,38.324564
3493.121151,54,39.169702
9071.098849,47,39.960685
5977.210202,189,42.999571
5690.435251,252,47.365762
4399.623024,98,49.234033
9072.928526,47,50.349816
5344.923198,252,54.414933
10900.590633,228,57.780546
4973.675109,252,61.234794
3440.356191,50,62.041434
2104.924377,31,62.611157
6724.364914,252,66.359402
5874.472795,196,69.919711
5310.621246,100,71.720926
10473.929742,89,73.266778
9071.164824,47,74.130057
9074.992421,47,75.09137
5032.086942,90,77.11673
9075.583885,47,78.060116
6048.975984,252,82.61296
6155.012843,252,86.509762
2580.201645,252,90.426675
6551.326388,252,94.360292
11870.407287,103,96.107175
6830.370643,252,99.933354
6565.722804,252,103.670899
10294.380547,70,104.902913
5650.04416,148,107.287619
11304.668236,219,110.942844
11500.954553,99,112.63282
12236.910989,210,115.768626
5058.654033,100,117.402447
10666.988808,78,118.706432
4891.805693,120,121.005589
6107.833569,252,125.155716
10253.036951,67,126.22886
11625.028332,108,127.823865
9627.261115,57,128.87554
5147.685881,125,130.672711
9073.675955,47,131.579297
6450.573977,252,135.003537
5060.363521,117,136.692285
11463.502108,89,138.027143
9074.80147,47,138.849516
9070.977882,47,139.666945
-287.211185,252,143.411241
9072.094817,47,144.190603
9073.540188,47,144.971561
5992.854632,252,148.472463
10475.427062,76,149.646274
9437.550036,57,150.545491
647.510172,16,151.051986
10424.83811,73,152.399787
9070.089254,47,153.362821
5858.292934,252,156.8919
11729.215019,171,159.334504
11604.605734,150,161.572579
9080.924266,52,162.500948
11620.455395,110,164.143319
9295.277812,55,165.0381
5184.979267,252,168.49801
11696.696907,164,170.840989
11544.057102,114,172.756765
5851.884477,252,176.245169
9427.471394,58,177.308401
11237.765742,89,178.623822
4927.524332,252,182.039516
5686.803107,238,186.099088
9335.107472,52,187.081107
11411.131987,88,188.60462
9660.88838,61,189.888308
10901.819556,132,192.11936
11222.371788,91,193.699402
9574.862814,59,194.617093
5697.628807,252,198.046745
3695.99265,251,201.529048
10187.365165,66,202.658524
5352.291756,252,206.320303
9173.877815,50,207.169396
9223.839067,52,208.037665
3976.077017,129,209.855054
9666.933499,65,210.88743
11172.528199,87,212.164755
5733.777874,122,214.25254
5497.761799,101,215.822009
9977.440168,67,216.878093
12354.529872,151,219.010801
9186.9977,51,219.837571
4923.927256,252,223.331759
9067.347854,47,224.121811
5114.960291,110,225.888916
5949.824933,100,227.398718
5026.024244,115,229.094513
9141.884684,48,229.885469
9634.83127,60,230.914971
6754.909708,252,234.612592
5727.424656,252,238.106104
10160.128444,67,239.198612
5886.667169,252,242.636031
10848.756452,80,243.938391
11717.651439,195,246.975942
