Run,Run ID,metric,step,timestamp,value
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,140500,1760366648984,0
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,141500,1760366662869,0.333333333333333
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,143000,1760366684639,0.307692307692308
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,144000,1760366699771,0.3
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,145500,1760366720448,0.296296296296296
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,146500,1760366734537,0.303030303030303
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,148000,1760366754730,0.325
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,149000,1760366769634,0.369565217391304
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,150500,1760366792276,0.388888888888889
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,151500,1760366806988,0.406779661016949
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,153000,1760366829532,0.417910447761194
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,154000,1760366844820,0.438356164383562
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,155500,1760366866828,0.4375
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,156500,1760366880445,0.458823529411765
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,158000,1760366901583,0.473118279569893
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,159000,1760366915256,0.479591836734694
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,160000,1760366929617,0.52
single_R4.6.10_W2E4_T5.2_dangerous_20251013_224357,e583ade55f28481e83808122a9032241,success_rate_recent_100,160500,1760366936498,0.54
