#{"t_start": 1760366640.5794168, "env_id": "None"}
r,l,t
-27530.90092,252,4.564393
-36258.551384,252,8.506341
-23219.196766,252,12.265864
-20758.451364,252,15.62323
-15225.4118,241,18.747138
4742.637921,152,20.895903
-1269.394656,252,24.21558
141.991021,252,27.505792
655.461875,230,30.753476
-11957.429112,87,32.026806
-894.741492,252,35.613077
8960.084597,134,37.772719
832.176247,252,41.763728
8419.50585,180,44.688952
4237.49103,125,46.70738
423.82379,178,49.649915
5912.937198,191,52.29517
9536.783691,143,54.304304
3937.936833,107,56.031969
5865.269744,139,57.997639
6051.341562,252,61.504236
5.24056,182,64.102496
13907.070672,203,66.873033
6849.698332,252,70.331743
11722.175549,139,72.252631
4021.274278,252,75.685565
3359.044303,145,77.804646
-440.858217,252,81.180096
-833.884761,234,84.396543
3677.912572,83,85.608171
9390.075248,139,87.616904
4266.230627,200,90.370471
11873.462072,139,92.458509
9909.978601,151,94.58549
12506.46806,125,96.34185
9972.136574,115,97.986367
-626.692111,252,101.402144
4167.116619,252,104.70494
5877.896392,252,108.083827
8518.127055,252,111.427014
12958.357549,247,114.715632
5874.011211,123,116.432748
13139.038814,164,118.693775
12615.901566,138,120.593537
11173.470457,156,123.102525
6838.811789,185,126.197994
12982.348523,236,129.767721
12646.0164,233,133.418958
13216.598314,125,135.631291
7964.492254,252,139.485235
5451.669314,252,143.1753
5738.978999,161,145.515818
11434.121002,120,147.193922
8098.13383,252,150.6681
8056.256276,252,154.268514
13971.556768,211,157.324161
13715.806136,122,159.441782
9501.042189,252,162.858068
13763.503855,144,165.040949
13862.456652,139,167.248079
14078.570479,137,169.403548
4786.08649,252,172.778522
9032.24705,252,176.614255
14366.480057,128,178.488732
2912.241479,220,182.095154
3217.715429,252,185.716882
13556.56906,132,187.7959
14315.185723,161,190.352613
10380.948456,252,193.949162
4814.199592,73,195.188937
14727.642647,143,197.322223
14031.218119,154,199.734007
14735.403307,131,201.814547
15070.641682,193,204.822773
7697.461923,252,208.677335
15248.880931,225,212.07673
8517.478592,252,215.905118
14981.268822,141,218.065444
10583.581543,252,221.540277
8083.795512,252,224.953191
11010.700255,252,228.387455
14855.356911,157,230.542853
14635.751673,245,233.85832
14226.154934,136,235.744621
14569.261367,161,237.944973
14634.088777,239,241.205744
14058.04721,121,243.053043
15796.49462,177,245.478788
14427.6893,126,247.370977
15635.559896,195,250.311966
9008.806265,252,253.713386
8776.460691,252,257.167594
9908.78955,252,260.537688
14288.961045,136,262.560516
8808.984348,252,265.949938
8996.318573,252,269.352786
14669.876388,173,271.716702
13843.287279,115,273.330178
15187.666924,141,275.307938
15000.132994,168,277.719291
14452.521083,148,280.052372
14039.395671,141,282.123992
14632.599474,212,284.991031
14251.060704,151,287.032303
6666.066792,95,288.385426
14292.689749,136,290.322652
14863.742522,145,292.315742
15152.652186,203,295.066852
8700.401391,252,298.442885
14922.464669,157,300.610687
13502.652762,135,302.485786
8420.846617,252,305.899188
14547.047054,130,307.694956
14439.481594,129,309.640904
14045.324029,203,312.842244
13480.586148,118,314.494479
9400.133056,252,317.983972
14568.983915,129,319.770967
13627.817528,119,321.467017
12776.062335,120,323.16528
14703.29525,138,325.177923
12549.815665,221,328.148067
9359.155936,252,331.578006
14351.812781,130,333.415378
13509.431978,143,335.402071
14665.797988,128,337.187947
15067.014667,136,339.248492
13638.335218,121,341.009069
15121.911991,247,344.670381
12914.724546,128,346.49929
9602.91104,252,349.866417
15597.353781,194,352.54338
8315.718705,252,355.91656
14202.298666,208,358.688479
15232.740998,250,362.062447
7430.795641,106,363.562179
15116.844148,150,365.646022
7966.238146,139,367.586931
12058.647925,211,370.421579
13900.934719,210,373.540084
9912.933672,252,377.200515
15082.8866,142,379.164167
15093.491467,143,381.194155
14048.337087,133,383.045615
15976.403564,185,385.525687
10174.442186,252,388.99101
14449.208707,121,390.689293
14408.284412,138,392.621058
13085.62601,130,394.467147
13778.311304,222,397.420169
9424.681164,252,400.840756
14684.166956,148,402.85856
14776.169429,142,405.110482
15088.72336,145,407.309782
13934.663177,154,409.530296
14616.222925,143,411.474444
12912.319681,182,413.9168
15969.442089,191,416.520319
13937.993894,170,418.870301
13711.429327,126,420.627059
13760.035544,146,422.685597
10845.099789,252,426.033186
15399.196086,145,428.022653
13929.67741,122,429.801379
15579.5345,209,432.588584
14903.434983,128,434.398692
14522.112087,147,436.820056
14871.458685,146,438.981652
16138.571123,236,442.116799
15299.675915,156,444.306616
14247.574897,202,447.004918
14526.225796,125,448.76173
14113.517615,126,450.561889
13865.86635,147,452.58229
14563.501322,143,454.580513
14009.652712,140,456.535732
13645.24658,160,458.772323
13982.321067,145,460.802731
13897.829374,133,462.692305
13987.012259,121,464.432583
13965.600357,227,468.002485
13870.686162,115,469.66512
13758.563199,126,471.511046
9488.00783,252,474.903896
14624.373064,126,476.717346
13644.036594,127,478.548658
14686.929608,130,480.367992
13669.358627,121,482.105581
8019.077144,252,485.530213
10323.83694,252,488.886896
15368.920353,144,490.849427
15141.332458,226,493.932923
14510.354147,200,496.655717
15216.956826,200,499.778963
14225.431411,159,502.148285
13919.491253,121,503.827734
9933.01581,252,507.220106
13832.166142,154,509.322575
11004.626937,252,512.687214
9187.604511,252,516.102419
14743.160826,164,518.317652
15169.359247,240,521.573655
14392.679586,142,523.522819
14461.617086,127,525.288545
14689.952319,142,527.361154
15303.862908,140,529.581143
14522.996568,145,531.66583
15390.413744,173,534.095062
13634.619028,121,535.893634
13998.280126,128,537.66492
14853.147243,162,539.89742
15194.934812,225,542.968762
8085.982418,252,546.339077
9325.303315,252,549.749748
15442.199987,194,552.386539
14814.348568,137,554.2911
14334.431045,123,556.047071
14748.862554,230,559.366627
14758.406322,218,562.578871
15252.037532,249,565.896653
10428.732692,252,569.318473
14125.603989,130,571.255853
12675.036391,198,573.922171
13891.529113,139,575.882791
14874.331979,135,577.779898
14156.942357,130,579.572057
14471.272441,233,582.731191
14978.902151,140,584.653157
13992.012011,126,586.43586
15294.956838,175,588.879074
13878.009972,138,591.075923
14231.781744,127,592.932815
15372.384549,197,595.660858
15403.544302,250,599.049121
14867.745536,137,600.930506
13742.242201,127,602.908337
13984.453263,143,604.940674
15389.076659,212,607.797494
14209.82747,136,609.719619
14236.524646,122,611.528939
14510.107681,188,614.058315
14490.121856,123,615.807955
8766.471679,252,619.264233
15023.346771,195,622.30035
14997.368608,124,624.087049
14127.852197,127,625.954577
13979.049378,122,627.656991
10737.227679,252,631.040041
14198.828168,175,633.607828
14406.160503,135,635.482785
14311.231267,168,637.777739
9570.229259,252,641.188924
10423.939385,252,644.571558
8825.669887,252,648.007233
14814.791476,159,650.23728
15731.600842,242,653.917873
16224.486435,177,656.445208
10023.179328,252,659.849488
13890.586677,141,661.819257
15563.277371,145,663.816525
13925.575664,117,665.515543
14154.282276,126,667.322465
13728.906749,117,669.115292
9145.486449,252,672.459139
13857.714051,131,674.350583
6629.441792,252,677.705824
14944.064339,146,679.726403
15385.386355,142,681.876384
11140.888706,182,684.592943
14807.375471,139,686.570854
13590.01369,234,689.767699
14289.175276,204,692.52346
14148.528186,146,694.534153
13787.616636,135,696.495795
14090.792931,125,698.228373
14109.805889,120,699.91643
14811.073148,238,703.295476
13557.537113,119,704.979568
16191.511919,196,707.623637
13593.658,174,710.046989
13223.977627,118,711.756805
13726.402536,134,713.909728
14864.758903,172,716.428614
12334.112445,205,719.239776
4821.753927,69,720.295636
14022.820858,125,722.029901
13723.144012,124,723.81596
14295.697493,201,726.551974
15054.992467,134,728.46683
14895.794031,212,731.479996
13651.468801,115,733.12106
