#{"t_start": 1759989430.8115149, "env_id": "None"}
r,l,t
3845.90989,85,459.212792
8321.563631,79,460.709236
8557.129106,68,462.000258
2221.369568,82,463.428691
3403.979306,84,464.899347
7273.80844,74,466.25899
2817.902542,86,468.169048
2325.912254,85,469.931225
3033.939777,82,471.708359
8995.107777,73,473.261351
8920.219456,67,474.738705
2300.649331,82,476.62723
3747.00441,78,478.387759
7357.373884,72,479.798959
6216.986663,68,481.030965
3207.638443,78,482.913297
6780.592022,76,484.422914
2464.950256,87,486.182913
8895.098598,76,487.608951
3037.038989,89,489.216343
8506.054448,75,490.666185
2091.635011,86,492.189246
1739.075441,81,493.626958
7473.628579,71,495.034476
7019.285193,71,496.385569
7354.444652,73,497.813871
9216.760234,75,499.115414
7273.284307,74,500.406678
8236.949361,71,501.752646
6720.94039,72,503.08674
6228.017704,74,504.376269
6296.587331,68,505.636546
7529.845926,74,507.017206
6276.820702,72,508.34058
7347.424691,73,509.818271
8783.962467,76,511.407522
6631.873785,70,512.792397
5376.96707,71,513.987885
6717.376523,74,515.28413
7145.154168,74,516.7107
5264.97226,73,517.946452
8195.572554,75,519.301677
7230.549737,72,520.904765
6920.628205,75,522.409272
8227.669725,74,523.945222
7030.09906,74,525.321653
5819.168445,73,526.656246
7769.546528,71,527.925497
7848.428475,72,529.222478
6074.663476,71,530.646123
7753.21828,72,531.995706
6939.521342,71,533.330751
7846.054886,69,534.620815
7840.189117,71,535.839395
6975.476402,74,537.178413
8236.659694,71,538.468819
7797.586416,74,540.135044
6518.460519,72,541.516874
7129.916839,73,542.899981
8481.145395,74,544.299623
7342.058059,72,545.605448
7920.583201,70,546.808468
6763.088202,73,548.228811
7212.708155,72,549.453776
8459.441216,71,550.732481
4604.513796,72,552.1191
7840.868641,71,553.778352
8111.095098,71,555.33891
7748.619972,71,556.851049
7542.331358,71,558.214421
8295.62868,75,559.598669
4633.742723,72,561.171125
8618.359964,72,562.662083
8026.653755,72,564.332749
8066.567681,74,565.847456
6426.676906,72,567.506919
7458.944974,72,568.947524
5668.991694,74,570.55228
7762.425482,72,572.130816
8059.007898,72,573.709397
7364.083894,71,575.310591
8129.533277,72,576.657556
7581.268198,75,578.125978
6891.099838,70,579.41484
7996.667022,72,580.693409
6601.759838,70,581.900116
4215.680839,69,583.226228
6784.720205,75,584.843694
5670.453014,72,586.482038
8663.1272,75,587.979913
8950.639598,67,589.380365
5826.779138,70,590.752002
7425.185682,76,592.809661
8479.028249,72,594.256579
6532.666037,73,596.249298
8388.749607,73,598.057239
9358.832504,75,599.985917
7044.61415,74,601.520702
7366.179707,74,602.868566
8635.72303,70,604.555313
5954.70916,74,606.702336
4900.447814,74,608.756221
6242.739728,72,610.715504
6913.996521,71,612.401488
7847.98408,75,613.936198
7425.698319,71,615.394446
8574.053487,76,616.814877
7834.605911,72,618.244215
8196.493447,74,619.837542
7635.081769,76,621.211586
7983.026246,75,622.673717
8270.580749,73,624.211881
8296.924138,73,625.840581
9312.502369,75,627.708887
7164.483879,74,629.707594
8133.151204,74,631.464653
7753.095546,70,632.916564
6306.648357,69,634.182011
7194.455895,82,635.953269
7135.699546,72,637.49205
8619.535545,78,638.970994
8803.813853,81,640.615208
7871.208814,73,642.059651
9054.965437,80,643.576739
8359.617833,80,645.148781
6992.787912,79,646.691508
8145.844028,83,648.562768
7145.363867,71,650.028752
9148.797512,82,651.757269
9348.267943,79,653.334575
7361.606954,79,654.86189
8742.28107,79,656.401284
9201.054266,78,658.047997
9557.64344,78,659.530046
9926.445251,79,660.982939
9470.683017,76,662.366677
6895.969144,79,663.786108
8173.204009,80,665.213459
9302.448939,79,666.783194
9378.279168,79,668.343907
8042.942029,73,669.804615
9169.058701,76,671.322083
8266.071693,72,672.914052
8885.99113,74,674.386924
8972.321068,79,675.980048
8275.364439,72,677.366911
9272.724854,79,678.82497
8362.766334,78,680.277219
7901.301467,78,681.720517
8393.649618,80,683.71609
6380.719332,76,685.829267
8488.348486,79,688.032032
7910.113538,80,690.106113
7488.109746,76,692.308657
6091.894493,79,694.38198
8053.784736,73,696.211662
8285.531132,74,698.00699
9761.91184,76,699.496455
8039.353799,79,700.975119
9461.213616,75,702.476527
9098.983581,70,703.927423
8881.476594,77,705.412507
8859.351344,76,706.899791
8843.472666,78,708.485281
8326.777712,76,710.115503
9122.162881,79,711.710049
9479.657323,76,713.217856
7567.25202,79,714.884916
9120.073241,73,716.342853
8640.927609,73,717.941091
9424.983949,76,719.34381
9114.982488,77,720.705847
7676.701879,78,722.140807
8318.460583,77,723.712827
9493.790767,77,725.249208
9103.607129,75,726.746004
9228.247438,74,728.19679
8076.464306,74,729.508986
8652.55702,74,730.965101
8925.499256,79,732.518398
8794.517917,78,734.029057
9508.266263,77,735.483714
9935.922335,79,737.18852
9678.014323,75,738.719229
9441.108935,80,740.131569
8790.310339,79,741.714132
9023.81137,76,743.808821
9251.907689,76,745.760596
8568.529384,78,748.001707
8925.799266,79,749.82939
9976.800688,76,751.327572
9820.719319,79,752.862858
8820.28922,76,754.306862
9712.717137,82,755.911069
7289.30318,74,757.317713
7161.020967,76,758.723433
9422.092982,79,760.208943
9257.837912,80,761.824738
8781.952612,77,763.335499
7459.450022,79,765.403254
9093.909073,73,766.881682
9808.246079,74,768.491101
7919.526018,78,769.931582
9311.107726,75,771.340691
7480.120569,78,772.817681
9644.349383,77,774.603209
9464.662518,80,776.192567
7662.177108,76,777.673065
8629.455181,81,779.197005
9774.408331,73,780.629501
8377.77443,75,782.002032
9072.205649,76,783.526814
8154.687698,74,784.924184
8996.852639,71,786.56358
8057.522724,78,788.212527
7765.769379,75,789.776265
8972.705213,75,791.275351
8756.971999,72,792.789229
8158.193782,77,794.463412
9201.541915,74,796.401318
9347.138635,75,798.062474
8099.322624,76,800.250501
9534.921538,74,802.368586
9367.378753,74,803.983614
7382.054577,76,805.585509
9369.569018,73,807.229188
8928.338267,77,809.048232
8597.060896,72,810.639402
8619.425245,78,812.396407
7909.278829,76,814.140937
8231.790528,76,815.774176
9748.933885,77,817.387567
8498.506838,78,819.144798
8315.666516,75,820.721011
8782.884408,76,822.319504
